"","**Characteristic**","dropout","FALSE","TRUE","**Total**","**p-value**"
"1","__key_md_res__",NA,NA,NA,NA,"<0.001"
"2","FALSE","112 (16%)","443 (65%)","129 (19%)","684 (100%)",NA
"3","TRUE","224 (20%)","381 (34%)","529 (47%)","1,134 (100%)",NA
"4","__Total__","336 (18%)","824 (45%)","658 (36%)","1,818 (100%)",NA
