"","**Characteristic**","dropout","FALSE","TRUE","**Total**","**p-value**"
"1","__key_hi_res__",NA,NA,NA,NA,"<0.001"
"2","FALSE","292 (33%)","336 (37%)","270 (30%)","898 (100%)",NA
"3","TRUE","107 (16%)","192 (29%)","371 (55%)","670 (100%)",NA
"4","__Total__","399 (25%)","528 (34%)","641 (41%)","1,568 (100%)",NA
