"","**Characteristic**","FALSE","TRUE","**Total**","**p-value**"
"1","__male__",NA,NA,NA,"<0.001"
"2","FALSE","484 (47%)","535 (53%)","1,019 (100%)",NA
"3","TRUE","357 (34%)","705 (66%)","1,062 (100%)",NA
"4","__Total__","841 (40%)","1,240 (60%)","2,081 (100%)",NA
