"","**Characteristic**","FALSE","TRUE","**Total**","**p-value**"
"1","__ownership_husb_father__",NA,NA,NA,"0.019"
"2","FALSE","192 (27%)","507 (73%)","699 (100%)",NA
"3","TRUE","123 (22%)","443 (78%)","566 (100%)",NA
"4","__Total__","315 (25%)","950 (75%)","1,265 (100%)",NA
