"","**Characteristic**","FALSE","TRUE","**Total**","**p-value**"
"1","__male__",NA,NA,NA,"<0.001"
"2","FALSE","2,449 (98%)","50 (2.0%)","2,499 (100%)",NA
"3","TRUE","2,124 (81%)","494 (19%)","2,618 (100%)",NA
"4","__Total__","4,573 (89%)","544 (11%)","5,117 (100%)",NA
