"","**Characteristic**","FALSE","TRUE","**Total**","**p-value**"
"1","__ownership_husb_father__",NA,NA,NA,"<0.001"
"2","FALSE","283 (56%)","224 (44%)","507 (100%)",NA
"3","TRUE","151 (34%)","292 (66%)","443 (100%)",NA
"4","__Total__","434 (46%)","516 (54%)","950 (100%)",NA
