"","**Characteristic**","FALSE","TRUE","**Total**","**p-value**"
"1","__asset_total_quant__",NA,NA,NA,"0.9"
"2","(-2.27e+06,7.38e+04]","71 (32%)","152 (68%)","223 (100%)",NA
"3","(7.38e+04,2.49e+05]","70 (31%)","153 (69%)","223 (100%)",NA
"4","(2.49e+05,6.4e+05]","74 (29%)","177 (71%)","251 (100%)",NA
"5","(6.4e+05,1.16e+08]","114 (33%)","234 (67%)","348 (100%)",NA
"6","__Total__","329 (31%)","716 (69%)","1,045 (100%)",NA
